Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
11,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,237000
11,0.836,0.661,7,-6.502,0,0.338,0.0208,0,0.449,0.753,76.71,213200
11,0.788,0.773,9,-5.272,0,0.099,0.0381,0,0.35,0.584,73.978,192400
11,0.824,0.366,7,-10.96,1,0.145,0.039,0.106,0.0403,0.895,73.949,249533
11,0.929,0.463,9,-8.651,1,0.308,0.142,5.26E-06,0.0634,0.757,124.084,255840
11,0.801,0.641,8,-9.349,1,0.173,0.34,4.50E-05,0.0693,0.741,96.96,279720
11,0.804,0.607,10,-6.84,0,0.37,0.0773,0,0.0993,0.823,142.421,191333
11,0.825,0.62,2,-6.083,1,0.211,0.183,0,0.0822,0.744,150.243,206307
11,0.749,0.849,4,-5.761,0,0.0544,0.0299,0.000168,0.115,0.959,145.169,244253
11,0.78,0.427,5,-8.371,0,0.126,0.128,1.76E-05,0.0697,0.526,71.665,228760
11,0.496,0.786,1,-6.05,0,0.318,0.014,0,0.639,0.731,153.448,221507
11,0.582,0.663,4,-6.547,0,0.0828,0.161,0,0.198,0.695,170.82,217200
11,0.934,0.467,11,-10.99,0,0.307,0.102,3.98E-05,0.109,0.73,123.583,211000
11,0.765,0.555,10,-7.579,0,0.374,0.409,2.04E-06,0.073,0.828,77.848,197667
11,0.686,0.652,9,-7.586,0,0.111,0.0331,8.34E-06,0.0578,0.503,141.185,219160
11,0.71,0.589,0,-11.933,1,0.167,0.068,4.38E-06,0.176,0.65,144.601,279360
11,0.767,0.732,7,-5.008,0,0.282,0.056,4.73E-06,0.0688,0.871,75.005,254907
11,0.787,0.728,0,-7.705,1,0.218,0.0124,0,0.157,0.94,173.026,227067
11,0.865,0.562,10,-6.811,0,0.251,0.0318,0,0.246,0.81,85.02,222467
11,0.683,0.724,5,-4.436,0,0.0988,0.0909,0,0.339,0.742,80.932,208467
11,0.865,0.549,0,-10.083,1,0.244,0.0845,0.156,0.081,0.616,142.8,233300
11,0.87,0.299,10,-13.409,1,0.248,0.122,0.0514,0.0926,0.933,75.895,317360
11,0.831,0.587,6,-6.997,0,0.354,0.0392,0,0.164,0.787,83.154,224840
11,0.749,0.704,6,-5.415,0,0.269,0.0159,2.02E-06,0.0886,0.821,145.618,230573
11,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57E-06,0.0476,0.615,148.404,180267
11,0.855,0.602,0,-7.289,1,0.0595,0.378,0,0.167,0.809,77.514,235373
11,0.672,0.839,0,-5.034,0,0.114,0.0674,0,0.114,0.917,153.37,246453
11,0.874,0.491,6,-7.737,0,0.121,0.00954,0.00629,0.0484,0.364,74.099,345493
11,0.782,0.744,7,-6.164,1,0.0806,0.0552,1.42E-05,0.701,0.7,81.067,251204
11,0.872,0.688,5,-4.024,0,0.123,0.2,0,0.385,0.885,96.989,265083
11,0.917,0.745,7,-4.424,0,0.186,0.258,2.39E-05,0.382,0.935,142.001,339267
11,0.746,0.803,2,-5.817,0,0.0556,0.0269,0,0.332,0.731,72.384,209813
11,0.758,0.786,4,-4.897,0,0.108,0.156,0,0.0658,0.786,83.495,234587
11,0.587,0.816,9,-4.27,0,0.263,0.0565,0,0.362,0.731,79.159,234837
11,0.517,0.761,2,-4.591,0,0.316,0.174,0,0.131,0.654,99.172,197121
11,0.796,0.675,8,-6.382,1,0.0916,0.0686,0,0.0286,0.935,148.104,213149
11,0.678,0.585,9,-4.963,0,0.143,0.318,0,0.065,0.627,83.959,230107
11,0.818,0.475,9,-11.088,0,0.17,0.367,9.14E-06,0.0524,0.724,78.496,181394
11,0.704,0.79,8,-5.756,1,0.0432,0.101,0.00657,0.0769,0.933,167.816,257667
11,0.739,0.658,0,-5.462,1,0.0762,0.0748,2.14E-06,0.101,0.707,77.999,252125
11,0.735,0.689,4,-5.799,1,0.177,0.279,0,0.231,0.827,77.726,204000
11,0.776,0.559,6,-8.375,0,0.103,0.11,0,0.0671,0.758,122.242,232200
11,0.646,0.738,7,-5.827,0,0.213,0.197,0,0.336,0.622,68.816,243307
11,0.624,0.719,8,-6.034,0,0.344,0.0262,0,0.368,0.781,82.571,225507
11,0.758,0.643,7,-6.107,1,0.392,0.0353,0,0.134,0.568,76.757,206733
11,0.807,0.487,9,-10.456,1,0.0758,0.0102,1.98E-06,0.0501,0.651,148.491,180267
11,0.775,0.563,6,-8.225,0,0.0815,0.119,0,0.155,0.786,122.269,230800
11,0.719,0.515,10,-9.72,1,0.348,0.0912,0,0.0791,0.927,76.518,172933
11,0.774,0.531,11,-7.176,0,0.0446,0.0595,0,0.0409,0.966,142.001,242333
11,0.932,0.611,9,-8.278,1,0.0853,0.0901,0.00156,0.0467,0.77,125.238,231267
