no,genre,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,Blues,0,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133
2,Blues,0,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,301133
3,Blues,0,0.821,0.376,0,-13.622,1,0.0487,0.669,1.39E-05,0.106,0.824,119.039,170000
4,Blues,0,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,188400
5,Blues,0,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238533
6,Blues,0,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,188200
7,Blues,0,0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,314880
8,Blues,0,0.541,0.283,0,-13.659,1,0.0527,0.805,0.0367,0.0736,0.564,76.828,228627
9,Blues,0,0.596,0.545,11,-8.913,0,0.064,0.456,5.53E-05,0.329,0.718,146.953,179733
10,Blues,0,0.353,0.921,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,271653
11,Blues,0,0.513,0.546,0,-15.672,1,0.0391,0.333,0,0.17,0.834,85.527,164547
12,Blues,0,0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,204333
13,Blues,0,0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158,162040
14,Blues,0,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,149560
15,Blues,0,0.629,0.0192,4,-19.952,1,0.0833,0.989,4.30E-05,0.106,0.335,169.254,188160
16,Blues,0,0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,320907
17,Blues,0,0.606,0.301,0,-11.402,1,0.0423,0.545,0.00194,0.0419,0.457,100.979,183027
18,Blues,0,0.613,0.934,0,-3.711,1,0.0342,0.0406,0.000313,0.0882,0.776,107.273,283267
19,Blues,0,0.582,0.302,9,-11.624,1,0.0353,0.947,0.0107,0.0931,0.642,94.288,144427
20,Blues,0,0.678,0.612,4,-9.764,1,0.0339,0.101,0.318,0.164,0.857,118.381,216627
21,Blues,0,0.797,0.431,0,-16.457,1,0.0625,0.414,0.0359,0.138,0.809,109.893,366733
22,Blues,0,0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,147800
23,Blues,0,0.678,0.551,1,-7.332,1,0.0261,0.266,0.00322,0.254,0.767,97.767,280453
24,Blues,0,0.393,0.358,5,-9.598,0,0.0471,0.33,0.0313,0.12,0.598,180.075,383760
25,Blues,0,0.803,0.288,7,-15.418,0,0.0629,0.865,0.0593,0.0833,0.865,115.685,259160
26,Blues,0,0.673,0.481,9,-9.88,1,0.0488,0.0764,4.00E-05,0.127,0.767,117.087,178973
27,Blues,0,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,230360
28,Blues,0,0.433,0.7,11,-8.197,1,0.163,0.843,0.324,0.102,0.8,80.623,176186
29,Blues,0,0.656,0.551,2,-14.141,1,0.0889,0.171,0.000155,0.0676,0.773,125.659,247507
30,Blues,0,0.462,0.796,9,-6.202,1,0.0322,0.384,0,0.296,0.824,204.028,264240
31,Blues,0,0.425,0.781,2,-4.124,1,0.0645,0.622,0.000648,0.154,0.862,198.018,155211
32,Blues,0,0.633,0.553,5,-8.485,1,0.0603,0.871,0.00266,0.0555,0.846,159.12,147478
