no,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
61,1,0.39,0.0432,1,0.374815963,1,0.0506,0.723,0.000303,0.108,0.326,0.706869438,1
62,1,0.358,0.167,1,0.590339662,0,0.0354,0.899,0.96,0.103,0.601,0.693085494,1
63,1,0.322,0.184,0,0.530621206,0,0.0338,0.984,0.902,0.0813,0.356,0.517063325,1
64,1,0.362,0.569,1,0.605992509,0,0.0345,0.876,0.91,0.327,0.746,0.712891224,1
65,1,0.272,0.00397,1,0.187369237,0,0.0475,0.992,0.9,0.0763,0.19,0.345480784,1
66,1,0.132,0.0195,0,0.234921865,1,0.0445,0.993,0.888,0.0569,0.14,0.391301013,1
67,1,0.386,0.0738,1,0.503319127,1,0.0433,0.839,0.947,0.155,0.172,0.683199409,1
68,1,0.205,0.00644,1,0.012217487,0,0.0604,0.995,0.872,0.115,0.147,0.782146556,1
69,1,0.441,0.319,1,0.642257523,1,0.0392,0.829,0,0.0765,0.671,0.476655991,1
70,1,0.251,0.219,1,0.570166602,1,0.0323,0.929,0.933,0.0824,0.0965,0.431483009,1
71,1,0.233,0.0252,1,0.362417668,1,0.0346,0.975,0.601,0.143,0.0936,0.454203743,1
72,1,0.575,0.174,1,0.631073227,1,0.0424,0.883,0.898,0.108,0.381,0.542411399,1
73,1,0.594,0.00544,1,0.088673641,1,0.07,0.995,0.952,0.0814,0.314,0.3667584,1
74,1,0.209,0.101,0,0.50295751,1,0.0403,0.927,0.9,0.0776,0.153,0.411605362,1
75,1,0.522,0.0308,1,0.309828232,1,0.0641,0.995,0.915,0.0805,0.313,0.347839636,1
76,1,0.442,0.181,1,0.476197856,0,0.0443,0.906,0.656,0.0598,0.172,0.555596042,1
77,1,0.364,0.571,1,0.600774893,1,0.0453,0.874,0.867,0.121,0.38,0.407041079,1
78,1,0.248,0.298,0,0.599095958,0,0.0395,0.957,0.9,0.0943,0.157,0.469147936,1
79,1,0.335,0.372,1,0.587059279,1,0.037,0.697,5.36E-05,0.141,0.821,0.609509244,1
80,1,0.5,0.0104,1,0.312307891,1,0.0622,0.996,0.949,0.0573,0.133,0.550207119,1
81,1,0.241,0.122,1,0.424744931,1,0.0497,0.925,0.66,0.126,0.187,0.317989606,1
82,1,0.343,0.0209,1,0.305824616,1,0.0398,0.987,0.922,0.126,0.0393,0.600462182,1
83,1,0.309,0.0472,1,0.345034224,1,0.041,0.992,0.866,0.0979,0.0693,0.349584804,1
84,1,0.128,0.132,1,0.547203926,1,0.0353,0.744,0.942,0.107,0.0988,0.409030761,1
85,1,0.424,0.214,1,0.54673899,1,0.0763,0.962,2.90E-05,0.681,0.282,0.542780569,1
86,1,0.323,0.0114,1,0,0,0.0343,0.893,0.652,0.171,0.134,0.538786821,1
87,1,0.169,0.0161,1,0.202014723,0,0.0442,0.986,0.86,0.0805,0.0573,0.614370781,1
